Clapeyron Database File,,,,
SAFTgammaMie Unlike Parameters [csvtype = unlike,grouptype = SAFTgammaMie]
CH2~|~CH2OE,aN_5,1193.7,11.000,
CH2~|~CH2OE,afC~|~afCp,709.778,10.100,
CH2~|~CH2OE,cCH2~|~cCH2_5,469.67,,
CH2~|~CH2OE,cCH,522.57,,
CH2~|~CH2OE,cCHOH~|~cCHOHn,398.89,,
CH2~|~CH2OE,cC=O~|~cC=O_2,618.41,77.074,
CH2~|~CH2OE,cyO~|~cO,470.56,40,
CH2~|~CH2OE,cNH,429.49,,
CH2~|~CH2OE,cNH_5,311.53,18.758,
CH2~|~CH2OE,cN~|~cN_5~|~cN_2,508.54,,
CH2OH,aCH,386.05,,
CHOH~|~CH2OH~|~CH3OH,aCH_5,338.47,34.432,
CH2OH,aCCH3~|~aCCH3_5,486.62,,
CHOH~|~CH2OH~|~CH3OH,aCNH2,253.4,10.289,
CHOH~|~CH2OH~|~CH3OH,aN,768.84,10.353,
CHOH~|~CH2OH~|~CH3OH,aN_5,764.85,12.444,
CHOH~|~CH2OH~|~CH3OH,aN2,333.41,10.353,
CHOH~|~CH2OH~|~CH3OH,afC,517.83,10.042,
CHOH~|~CH2OH~|~CH3OH,afCp,356.37,10.042,
CHOH~|~CH2OH~|~CH3OH,H3O+,353.37,,
CH2OH,cCH2~|~cCH2_5,424.64,,
CH2OH,cCH,242.45,,
CHOH~|~CH2OH~|~CH3OH,cCHOH~|~cCHOHn,368.6,,
CHOH~|~CH2OH~|~CH3OH,cC=O_2,587.81,32.423,
CHOH~|~CH2OH~|~CH3OH,cC=O,676.05,29.890,
CHOH~|~CH2OH~|~CH3OH,cyO~|~cO,399.54,17.865,
CHOH~|~CH2OH~|~CH3OH,cNH,250.60,100.,
CHOH~|~CH2OH~|~CH3OH,cNH_5,420.85,69.858,
CHOH~|~CH2OH~|~CH3OH,cN~|~cN_2,1096.0,,
CHOH~|~CH2OH~|~CH3OH,cN_5,251.36,100.,
CHOH~|~CH2OH~|~CH3OH,CH2OE,404.74,21.230,
CHOH~|~CH2OH~|~CH3OH,Cl-,210.71,,
aCH~|~aCH_5,aCCH3~|~aCCH3_5,471.23,,
aCH~|~aCH_5,aCNH2,505.33,60.125,
aCH~|~aCH_5,aN~|~aN2,1043.99,34.368,
aCH,aN_5,804.045,8,
aCH_5,aN_5,1399.4,20.305,
aCH,afC~|~afCp,489.49,8,
aCH_5,afC~|~afCp,1024.2,39.96,
aCH~|~aCH_5,cCHOH~|~cCHOHn,231.22,8,
aCH~|~aCH_5,cC=O~|~cC=O_2,723.73,100,
aCH~|~aCH_5,cyO~|~cO,525.47,33.429,
aCH~|~aCH_5,cNH,336.54,9.0,
aCH_5,cNH_5,245.44,8,
aCH,cNH_5,255.21,8,
aCH~|~aCH_5,cN~|~cN_5~|~cN_2,752.18,97.132,
aCCH3~|~aCCH3_5,aCNH2,478.37,19.762,
aCCH3~|~aCCH3_5,aN~|~aN2~|~aN_5,1283.5,30.202,
aCCH3,afC~|~afCp,759.983,8,
aCCH3_5,afC~|~afCp,1338.5,9.5861,
aCCH3~|~aCCH3_5,cCHOH~|~cCHOHn,247.3,8.,
aCCH3~|~aCCH3_5,cC=O~|~cC=O_2,754.42,100.,
aCCH3~|~aCCH3_5,cyO~|~cO,579.28,35.675,
aCCH3~|~aCCH3_5,cNH,306.21,8.6477,
aCCH3~|~aCCH3_5,cNH_5,589.92,100.,
aCCH3~|~aCCH3_5,cN~|~cN_5~|~cN_2,133.98,,
aCNH2,aN~|~aN_5~|~aN2,66.644,100.,
aCNH2,afC~|~afCp,484.53,8.,
aCNH2,cC=O~|~cC=O_2,306.63,,
aCNH2,cCHOH~|~cCHOHn,395.36,,
aCNH2,cyO~|~cO,512.25,,
aCNH2,cNH,708.36,8.3492,
aCNH2,cNH_5,400.34,93.295,
aCNH2,cN~|~cN_5~|~cN_2,708.36,8.3492,
aN~|~aN_5~|~aN2,afC~|~afCp,0.,,
aN~|~aN_5~|~aN2,cCH2~|~cCH2_5,880.86,30.,
aN~|~aN_5~|~aN2,cyO~|~cO,1419.9,100.,
aN~|~aN_5~|~aN2,cCHOH~|~cCHOHn,987.28,,
aN~|~aN_5~|~aN2,cNH~|~cNH_5,1884.3,8.,
aN~|~aN_5~|~aN2,cN~|~cN_5~|~cN_2,837.93,54.259,
afC~|~afCp,cC=O~|~cC=O_2,2689.3,12.800,
afC~|~afCp,cCHOH~|~cCHOHn,965.78,,
afC~|~afCp,cyO~|~cO,2000.,8.,
afC~|~afCp,cNH,2475.0,11.623,
afC~|~afCp,cNH_5,601.67,39.862,
afC~|~afCp,cN~|~cN_2~|~cN_5,174.51,33.045,
cCH2~|~cCH2_5,cCH,321.71,,
cCH2~|~cCH2_5,cCHOH~|~cCHOHn,377.75,,
cCH2~|~cCH2_5,cC=O~|~cC=O_2,553.89,40.,
cCH2,cC=O~|~cC=O_2,553.89,40.,
cCH2_5,cC=O~|~cC=O_2,926.96,100.,
cCH2~|~cCH2_5,cyO~|~cO,535.27,100.,
cCH2~|~cCH2_5,cNH~|~cNH_5,605.45,,
cCH2~|~cCH2_5,cN~|~cN_5~|~cN_2,536.66,,
cCH,cCHOH~|~cCHOHn,39.771,,
cCHOH~|~cCHOHn,cyO~|~cO,648.5,8.,
cCHOH~|~cCHOHn,cC=O~|~cC=O_2,488.28,,
cCHOH~|~cCHOHn,cNH~|~cNH_5,356.07,,
cCHOH~|~cCHOHn,cN~|~cN_2~|~cN_5,743.23,,
cC=O~|~cC=O_2,cyO~|~cO,1142.7,32.072,
cC=O~|~cC=O_2,cNH~|~cNH_5,524.93,,
cC=O~|~cC=O_2,cN~|~cN_5~|~cN_2,160.66,43.426,
cyO~|~cO,cNH~|~cNH_5,1079.76,,
cyO~|~cO,cN~|~cN_5~|~cN_2,799.55,,
cO,PO43-~|~PO4-~|~phosphate,1000.55,,
cNH~|~cNH_5,cN~|~cN_5,812.26,,
cNH~|~cNH_5,cN_2,804.85,88.736,
PO43-~|~PO4-~|~phosphate,Na+~|~sodium,883.1661653296969,,
PO43-~|~PO4-~|~phosphate,K+~|~potassium,8.024781214432222,,
PO43-~|~PO4-~|~phosphate,NH4+~|~ammonium,342.13902283147087,,
cC=O~|~cC=O_2,cCH=,692.9401407609139,40.,
cCH=,cCH2~|~cCH2_5,463.15302223186166,,
cCH=,cC=,369.08842476810037,,
cC=,cCH2~|~cCH2_5,411.29419784016164,,
cC=,CH3,500.,,
cCH=,H2O,142.504395893562,,
CH2OE,cO,325.94,10.054,
